Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
62402177, -3849, -14954, 1109, -5367, 1014, 2059, -2242, -301, 928, 1863, 0, 0, 0, 0, 0, 0, 0, 0
62409630, -3818, -14874, 1368, -5548, 1106, 2021, -2179, -280, 813, 1773, 0, 0, 0, 0, 0, 0, 0, 0
62424653, -3758, -14805, 1602, -5707, 1216, 2108, -2222, -73, 700, 1676, 0, 0, 0, 0, 0, 0, 0, 0
62447110, -3746, -14765, 1765, -5772, 1328, 2211, -2261, 99, 581, 1541, 0, 0, 0, 0, 0, 0, 0, 0
62470978, -3729, -14736, 1908, -5811, 1396, 2275, -2273, 189, 438, 1443, 0, 0, 0, 0, 0, 0, 0, 0
62471766, -3729, -14736, 1908, -5811, 1396, 2275, -2273, 189, 438, 1443, 200, 109, 116, 160, 59, 57, 58, 88
62472551, -3729, -14736, 1908, -5811, 1396, 2275, -2273, 189, 438, 1443, 200, 109, 116, 160, 59, 57, 58, 88
62484627, -3718, -14710, 2051, -5835, 1447, 2220, -2226, 151, 332, 1394, 200, 109, 116, 160, 59, 57, 58, 88
62492752, -3718, -14710, 2051, -5835, 1447, 2220, -2226, 151, 332, 1394, 194, 115, 131, 189, 65, 53, 55, 89
62493550, -3718, -14710, 2051, -5835, 1447, 2220, -2226, 151, 332, 1394, 194, 115, 131, 189, 65, 53, 55, 89
62507135, -3719, -14681, 2192, -5856, 1517, 2227, -2194, 105, 306, 1360, 194, 115, 131, 189, 65, 53, 55, 89
62515266, -3719, -14681, 2192, -5856, 1517, 2227, -2194, 105, 306, 1360, 173, 112, 133, 209, 84, 69, 92, 129
62516024, -3719, -14681, 2192, -5856, 1517, 2227, -2194, 105, 306, 1360, 173, 112, 133, 209, 84, 69, 92, 129
62530955, -3731, -14649, 2324, -5877, 1589, 2135, -2246, 26, 331, 1256, 173, 112, 133, 209, 84, 69, 92, 129
62531729, -3731, -14649, 2324, -5877, 1589, 2135, -2246, 26, 331, 1256, 97, 86, 129, 213, 113, 86, 132, 191
62532590, -3731, -14649, 2324, -5877, 1589, 2135, -2246, 26, 331, 1256, 97, 86, 129, 213, 113, 86, 132, 191
62544604, -3766, -14621, 2441, -5876, 1593, 2151, -2294, -68, 277, 1115, 97, 86, 129, 213, 113, 86, 132, 191
62552790, -3766, -14621, 2441, -5876, 1593, 2151, -2294, -68, 277, 1115, 82, 77, 131, 212, 114, 94, 139, 198
62553574, -3766, -14621, 2441, -5876, 1593, 2151, -2294, -68, 277, 1115, 82, 77, 131, 212, 114, 94, 139, 198
62567081, -3857, -14588, 2555, -5853, 1642, 2139, -2294, -385, 213, 948, 82, 77, 131, 212, 114, 94, 139, 198
62575247, -3857, -14588, 2555, -5853, 1642, 2139, -2294, -385, 213, 948, 79, 72, 135, 202, 152, 103, 150, 214
62576051, -3857, -14588, 2555, -5853, 1642, 2139, -2294, -385, 213, 948, 79, 72, 135, 202, 152, 103, 150, 214
