Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
83549424, 2590, -14228, 715, -7668, 2875, -903, -3345, 26, -45, -30, 0, 0, 0, 0, 0, 0, 0, 0
83550242, 2538, -14294, 706, -7562, 2865, -903, -3376, 12, -27, -2, 0, 0, 0, 0, 0, 0, 0, 0
83563718, 2490, -14359, 706, -7455, 2877, -932, -3393, -13, -51, 36, 0, 0, 0, 0, 0, 0, 0, 0
83586198, 2448, -14417, 707, -7355, 2878, -935, -3388, -1, -37, 47, 0, 0, 0, 0, 0, 0, 0, 0
83608725, 2404, -14471, 706, -7264, 2857, -930, -3371, -13, -17, 26, 0, 0, 0, 0, 0, 0, 0, 0
83616817, 2404, -14471, 706, -7264, 2857, -930, -3371, -13, -17, 26, 669, 257, 305, 190, 489, 635, 86, 72
83617659, 2404, -14471, 706, -7264, 2857, -930, -3371, -13, -17, 26, 669, 257, 305, 190, 489, 635, 86, 72
83623794, 2357, -14519, 705, -7183, 2848, -948, -3338, -43, 8, -5, 669, 257, 305, 190, 489, 635, 86, 72
83639340, 2357, -14519, 705, -7183, 2848, -948, -3338, -43, 8, -5, 633, 263, 331, 194, 456, 642, 90, 73
83640119, 2357, -14519, 705, -7183, 2848, -948, -3338, -43, 8, -5, 633, 263, 331, 194, 456, 642, 90, 73
83646273, 2322, -14562, 703, -7108, 2842, -972, -3352, 6, 35, 0, 633, 263, 331, 194, 456, 642, 90, 73
83661863, 2322, -14562, 703, -7108, 2842, -972, -3352, 6, 35, 0, 650, 282, 280, 264, 515, 695, 82, 85
83662709, 2322, -14562, 703, -7108, 2842, -972, -3352, 6, 35, 0, 650, 282, 280, 264, 515, 695, 82, 85
83668813, 2312, -14573, 702, -7089, 2830, -931, -3371, -3, 2, 5, 650, 282, 280, 264, 515, 695, 82, 85
83676802, 2312, -14573, 702, -7089, 2830, -931, -3371, -3, 2, 5, 725, 279, 262, 271, 531, 686, 83, 95
83677665, 2312, -14573, 702, -7089, 2830, -931, -3371, -3, 2, 5, 725, 279, 262, 271, 531, 686, 83, 95
83683759, 2272, -14617, 701, -7010, 2838, -939, -3383, -21, -8, 6, 725, 279, 262, 271, 531, 686, 83, 95
83699378, 2272, -14617, 701, -7010, 2838, -939, -3383, -21, -8, 6, 783, 285, 261, 269, 475, 611, 71, 97
83700171, 2272, -14617, 701, -7010, 2838, -939, -3383, -21, -8, 6, 783, 285, 261, 269, 475, 611, 71, 97
83706321, 2235, -14657, 701, -6939, 2865, -956, -3382, -26, 6, 6, 783, 285, 261, 269, 475, 611, 71, 97
83721851, 2235, -14657, 701, -6939, 2865, -956, -3382, -26, 6, 6, 755, 287, 283, 257, 490, 694, 72, 96
83722680, 2235, -14657, 701, -6939, 2865, -956, -3382, -26, 6, 6, 755, 287, 283, 257, 490, 694, 72, 96
83728824, 2227, -14666, 700, -6922, 2868, -967, -3374, 2, 11, 12, 755, 287, 283, 257, 490, 694, 72, 96
83736788, 2227, -14666, 700, -6922, 2868, -967, -3374, 2, 11, 12, 734, 214, 252, 267, 568, 832, 72, 101
83737680, 2227, -14666, 700, -6922, 2868, -967, -3374, 2, 11, 12, 734, 214, 252, 267, 568, 832, 72, 101
83743814, 2218, -14675, 699, -6905, 2849, -923, -3360, -10, -8, 10, 734, 214, 252, 267, 568, 832, 72, 101
83759335, 2218, -14675, 699, -6905, 2849, -923, -3360, -10, -8, 10, 739, 174, 247, 190, 526, 911, 100, 106
83760193, 2218, -14675, 699, -6905, 2849, -923, -3360, -10, -8, 10, 739, 174, 247, 190, 526, 911, 100, 106
83766318, 2167, -14710, 695, -6848, 2874, -896, -3300, -90, 16, -36, 739, 174, 247, 190, 526, 911, 100, 106
83790041, 2167, -14710, 695, -6848, 2874, -896, -3300, -90, 16, -36, 635, 154, 186, 203, 580, 1100, 127, 108
83790865, 2167, -14710, 695, -6848, 2874, -896, -3300, -90, 16, -36, 635, 154, 186, 203, 580, 1100, 127, 108
83791791, 2112, -14736, 669, -6812, 2903, -869, -3267, -58, 99, -164, 635, 154, 186, 203, 580, 1100, 127, 108
83798915, 2112, -14736, 669, -6812, 2903, -869, -3267, -58, 99, -164, 681, 131, 160, 234, 665, 1236, 164, 127
83799735, 2112, -14736, 669, -6812, 2903, -869, -3267, -58, 99, -164, 681, 131, 160, 234, 665, 1236, 164, 127
83800543, 2112, -14736, 669, -6812, 2903, -869, -3267, -58, 99, -164, 681, 131, 160, 234, 665, 1236, 164, 127
